"act","pred"
80.2,74.6152972377179
83.1,82.5099449676871
92.5,85.918259852148
85.8,76.820394396257
76.9,64.7024097266059
76.1,90.5001099534901
83.8,79.6935132208131
92.4,81.6005628262065
82.4,81.335783017451
82.9,79.4793110930724
87.1,83.6305670294942
64.1,59.0330186281344
66.9,66.3967541301446
68.9,66.0246500395698
61.7,65.3912073652837
68.3,73.3866905323633
71.7,71.5941894915277
55.7,55.4988437419627
54.3,50.7379605075554
65.1,63.4468950300599
65.5,62.1685740231392
65,75.8032459800301
56.6,61.5901285834117
57.4,64.1341316184009
72.5,73.5615157552767
74.2,72.513993034304
72,71.4784766755015
60.5,61.9727748255834
58.3,63.7367352119921
65.4,72.4265826994146
75.5,76.2594532826096
69.3,76.9747768437798
77.3,78.5661512094895
70.5,76.332116955502
79.4,83.3086873248177
65,73.1763181273221
92.2,76.8786903180373
79.3,70.9545209989248
70.4,65.5957156186479
65.7,72.0425617503006
72.7,68.5668601396747
64.4,53.5193440141994
77.6,72.5354083410894
67.6,73.0529003403273
35,34.7976263402936
44.7,54.3620892604822
42.8,58.0742579399032
